id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
271411075,Hồi ức Phú Nhuận (Bìa mềm),https://tiki.vn/product-p271411075.html?spid=271411079,257000,339000,24,5.0,50,Phạm Công Luận,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Thế Giới,"Phú Nhuận là một trong những quận nội thành quan trọng áp sát trung tâm Thành phố Hồ Chí Minh. Sau hơn 300 năm hình thành và phát triển, từ xuất thân nhỏ bé là một vùng đất cằn cỗi, một gò đất hoang v..."
213571970,Phía Tây có đàn hươu cao cổ -West with Giraffes,https://tiki.vn/product-p213571970.html?spid=213571971,133000,220000,40,5.0,462,Lynda Rutledge,Tiki Trading,Nhà Sách Tiki,Nhà Xuất Bản Văn Học,"“Cho tới khi một người biết yêu thương động vật thì một phần tâm hồn anh ta vẫn chưa được đánh thức.” - Anatole France, Giải Nobel, 1921. Hay tin loài hươu cao cổ xinh đẹp sắp tuyệt chủng đến nơi, Woo..."
199739992,Cơ Trưởng Từ Buồng Lái,https://tiki.vn/product-p199739992.html?spid=199739993,90449,135000,33,5.0,225,Thư Uyển,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Phụ Nữ,"""“Tôi vừa đưa tay kéo cần điều khiển càng lên thì một tiếng động phát ra inh cả buồng lái. Ting ting ting ting ting liên hồi, kèm theo những ánh đỏ thoáng chớp thoáng tắt của đèn báo hiệu. Địa ngục ch..."
195545335,Vỡ Đê,https://tiki.vn/product-p195545335.html?spid=195545337,54800,75000,27,4.8,96,Vũ Trọng Phụng,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Văn Học,"Vũ Trọng Phụng (1912-1939) là một nhà văn, nhà báo nổi tiếng của Việt Nam vào đầu thế kỷ 20. Tuy thời gian cầm bút rất ngắn ngủi, với tác phẩm đầu tiên là truyện ngắn Chống nạng lên đường đăng trên Ng..."
195545261,Gió Lạnh Đầu Mùa,https://tiki.vn/product-p195545261.html?spid=195545262,34160,56000,39,5.0,170,Thạch Lam,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Văn Học,"Thạch Lam là thành viên quan trọng của nhóm Tự lực văn đoàn. Ông tham gia biên tập các báo Phong hóa, Ngày nay. Thạch Lam sáng tác nhiều thể loại văn học khác nhau như truyện ngắn, tiểu thuyết, bút kí..."
187813273,TS Thu Giang. Những Bài Đăng Báo Và Tiểu Luận,https://tiki.vn/product-p187813273.html?spid=189298549,140400,180000,22,5.0,14,"Đỗ Biên Thùy, Nguyễn Văn Nghiêm",Nhà Xuất Bản Trẻ,Bút Ký - Tự Truyện,NXB Trẻ,"Những bài đăng báo và tiểu luận của Thu Giang Nguyễn Duy Cần nội dung chia làm hai phần. Phần một là tập hợp những bài báo của tác giả đăng trên bán nguyệt san Nay năm 1937 gồm các chủ đề Văn chương, ..."
149257065,Keanu Reeves - Ma Trận Cuộc Đời (Bí Ẩn Đằng Sau Người Đàn Ông Tử Tế Nhất Hành Tinh),https://tiki.vn/product-p149257065.html?spid=149257066,104160,168000,38,5.0,4986,Marc Shapiro,Tiki Trading,Phóng Sự - Ký Sự,Nhà Xuất Bản Dân Trí,"“MA TRẬN CUỘC ĐỜI KEANU REEVES”Keanu thường được mọi người nhìn nhận như một người hùng, cả trên màn ảnh lẫn ngoài đời thực. Ở anh, chúng ta có thể nhìn thấy sự tận tụy, tử tế, cao thượng và gần gũi...."
77122329,Phòng Xưng Tội Craigslist,https://tiki.vn/product-p77122329.html?spid=77122330,108000,138000,22,5.0,123,Helena Dea Bala,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Dân Trí,""" Năm năm qua, tôi đã được nghe rất nhiều bí mật của những người xa lạ mà tôi gặp trên Craigslist. Những câu chuyện về lạm dụng tình dục và rối loạn tâm thần, chia ly và cái chết, nghiện ngập và tàn t..."
68688359,Gương Mặt Những Người Cùng Thế Hệ (Tái Bản 2020),https://tiki.vn/product-p68688359.html?spid=68688360,125000,150000,17,5.0,4,Vũ Đình Hòe,Tiki Trading,Phóng Sự - Ký Sự,NXB Trẻ,"Các bài tập hợp trong quyển Gương mặt những người cùng thế hệ được tác giả viết rải rác về những nhân vật mà ông biết rõ như Võ Nguyên Giáp, Nguyễn Văn Tố, Hoàng Hữu Nam, Phan Anh, Phan Mỹ trong ngót ..."
58579799,Những Ngày Cuối Của Dòng Mekong Hùng Vĩ ,https://tiki.vn/product-p58579799.html?spid=58579800,205000,298000,31,5.0,486,,PHAN LỆ & FRIENDS,Bút Ký - Tự Truyện,Nhà Xuất Bản Phụ Nữ,"Cuốn sách này như một bộ hồ sơ thực địa độc lập, đầy ấn tượng, công phu và bất ngờ. Nó cho thấy toàn cảnh và chi tiết về một dòng sông trên bờ vực lâm nguy.Nhà nghiên cứu Judith Shapiro – tác giả cuố..."
58493543,Thoái Thực Ký Văn,https://tiki.vn/product-p58493543.html?spid=58493544,311000,345000,10,4.7,515,Trương Quốc Dụng,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Hội Nhà Văn,"Thoái thực ký văn có thể hiểu là ""ghi chép những điều nghe thấy khi nghỉ việc quan về nhà."" Đây là một bộ sách dạng tổng hợp bách khoa thư, ghi chép nhiều sự việc theo từng loại, như cương vực, địa lý..."
52725156,Phan Bội Châu Vấn Đề Phụ Nữ Ở Nước Ta (Phụ Nữ Tùng Thư),https://tiki.vn/product-p52725156.html?spid=52725157,147000,195000,25,4.8,56,Đoàn Ánh Dương,Tiki Trading,Phóng Sự - Ký Sự,Nhà Xuất Bản Phụ Nữ,"“Theo ở trên mặt chữ mà nói, Nữ quyền nghĩa là quyền người đàn bà, cũng như Nam quyền nghĩa là quyền người con trai, nhưng xét cho đến gốc chân lý, thăm cho đến nguồn triết học, thời Nữ quyền với Nam ..."
36061939,Tôi Đã Ăn Cả Cánh Đồng Hoa,https://tiki.vn/product-p36061939.html?spid=36061940,92400,120000,23,4.8,313,Di Li,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Lao Động,"Tôi Đã Ăn Cả Cánh Đồng Hoa“Lắm lúc tôi cứ nghĩ, những tác phẩm âm nhạc, kiến trúc, hội họa, điện ảnh, văn chương được đời đời lưu giữ, nâng niu, tác giả của chúng được ghi danh và trân trọng, thậm chí..."
29829364,Đầm Lầy,https://tiki.vn/product-p29829364.html?spid=29829365,158000,235000,33,4.8,137,David Biggs,PHAN LỆ & FRIENDS,Bút Ký - Tự Truyện,Nhà Xuất Bản Hồng Đức,"GIẢI THƯỞNG GEORGE PERKINS MARSH 2012SÁCH HAY NHẤT VỀ LỊCH SỬ MÔI TRƯỜNGĐi cùng David Biggs đến đồng bằng sông Cửu Long, bạn sẽ thấy mình bỗng nhiên chú ý đến sự bằng phẳng của nơi này, nước lững lờ..."
